,M,s,fixation_freq,fixation_err,count_fixation
0,1.0,0.0001,0.011,0.00659666582449043,11.0
1,1.0,0.00021544346900318845,0.012,0.00688650854933035,12.0
2,1.0,0.00046415888336127773,0.005,0.004460941604639093,5.0
3,1.0,0.001,0.007,0.005272949838562851,7.0
4,1.0,0.002154434690031882,0.017,0.008175818001888251,17.0
5,1.0,0.004641588833612777,0.007,0.005272949838562851,7.0
6,1.0,0.01,0.012,0.00688650854933035,12.0
7,1.0,0.021544346900318822,0.023,0.00948071727244305,23.0
8,1.0,0.046415888336127774,0.054,0.01429461437045435,54.0
9,1.0,0.1,0.099,0.01888904444380393,99.0
10,2.0,0.0001,0.009,0.005972938975077512,9.0
11,2.0,0.00021544346900318845,0.006,0.004884260435316692,6.0
12,2.0,0.00046415888336127773,0.007,0.005272949838562851,7.0
13,2.0,0.001,0.011,0.00659666582449043,11.0
14,2.0,0.002154434690031882,0.006,0.004884260435316692,6.0
15,2.0,0.004641588833612777,0.021,0.009068406695776276,21.0
16,2.0,0.01,0.018,0.008408567059850328,18.0
17,2.0,0.021544346900318822,0.02,0.008854377448471461,20.0
18,2.0,0.046415888336127774,0.036,0.011782020200288235,36.0
19,2.0,0.1,0.116,0.020252802275240827,116.0
20,5.0,0.0001,0.017,0.008175818001888251,17.0
21,5.0,0.00021544346900318845,0.007,0.005272949838562851,7.0
22,5.0,0.00046415888336127773,0.011,0.00659666582449043,11.0
23,5.0,0.001,0.019,0.008634581634335272,19.0
24,5.0,0.002154434690031882,0.01,0.00629285308902091,10.0
25,5.0,0.004641588833612777,0.012,0.00688650854933035,12.0
26,5.0,0.01,0.02,0.008854377448471461,20.0
27,5.0,0.021544346900318822,0.025,0.009874208829065749,25.0
28,5.0,0.046415888336127774,0.044,0.012971353052014273,44.0
29,5.0,0.1,0.09,0.018099723754798028,90.0
30,7.0,0.0001,0.013,0.007164077051511938,13.0
31,7.0,0.00021544346900318845,0.007,0.005272949838562851,7.0
32,7.0,0.00046415888336127773,0.014,0.007430746934191744,14.0
33,7.0,0.001,0.008,0.005634181395730883,8.0
34,7.0,0.002154434690031882,0.012,0.00688650854933035,12.0
35,7.0,0.004641588833612777,0.012,0.00688650854933035,12.0
36,7.0,0.01,0.007,0.005272949838562851,7.0
37,7.0,0.021544346900318822,0.022,0.009277068502495817,22.0
38,7.0,0.046415888336127774,0.041,0.012540972849025708,41.0
39,7.0,0.1,0.112,0.0199455258140767,112.0
40,10.0,0.0001,0.012,0.00688650854933035,12.0
41,10.0,0.00021544346900318845,0.008,0.005634181395730883,8.0
42,10.0,0.00046415888336127773,0.016,0.007935741931287836,16.0
43,10.0,0.001,0.01,0.00629285308902091,10.0
44,10.0,0.002154434690031882,0.008,0.005634181395730883,8.0
45,10.0,0.004641588833612777,0.015,0.007687652437513028,15.0
46,10.0,0.01,0.015,0.007687652437513028,15.0
47,10.0,0.021544346900318822,0.031,0.010961569230726045,31.0
48,10.0,0.046415888336127774,0.041,0.012540972849025708,41.0
49,10.0,0.1,0.072,0.016348210911289345,72.0
