,M,s,fixation_freq,fixation_err
0,1.0,1e-05,0.0,0.0
1,1.0,2.782559402207126e-05,0.0,0.0
2,1.0,7.742636826811278e-05,0.0,0.0
3,1.0,0.00021544346900318823,0.0,0.0
4,1.0,0.0005994842503189409,0.0,0.0
5,1.0,0.0016681005372000592,0.0,0.0
6,1.0,0.004641588833612777,0.0,0.0
7,1.0,0.012915496650148827,0.0,0.0
8,1.0,0.03593813663804626,0.0,0.0
9,1.0,0.1,0.0,0.0
10,250.0,1e-05,0.005,0.007053367989832943
11,250.0,2.782559402207126e-05,0.0,0.0
12,250.0,7.742636826811278e-05,0.0025,0.004993746088859545
13,250.0,0.00021544346900318823,0.005,0.007053367989832943
14,250.0,0.0005994842503189409,0.0,0.0
15,250.0,0.0016681005372000592,0.0,0.0
16,250.0,0.004641588833612777,0.005,0.007053367989832943
17,250.0,0.012915496650148827,0.025,0.015612494995995997
18,250.0,0.03593813663804626,0.03,0.01705872210923198
19,250.0,0.1,0.1075,0.030974788134868654
20,500.0,1e-05,0.0075,0.0086277169633687
21,500.0,2.782559402207126e-05,0.0,0.0
22,500.0,7.742636826811278e-05,0.0,0.0
23,500.0,0.00021544346900318823,0.0025,0.004993746088859545
24,500.0,0.0005994842503189409,0.0,0.0
25,500.0,0.0016681005372000592,0.0025,0.004993746088859545
26,500.0,0.004641588833612777,0.0,0.0
27,500.0,0.012915496650148827,0.0275,0.01635351644142629
28,500.0,0.03593813663804626,0.03,0.01705872210923198
29,500.0,0.1,0.09,0.02861817604250837
30,750.0,1e-05,0.0,0.0
31,750.0,2.782559402207126e-05,0.005,0.007053367989832943
32,750.0,7.742636826811278e-05,0.0,0.0
33,750.0,0.00021544346900318823,0.0,0.0
34,750.0,0.0005994842503189409,0.0025,0.004993746088859545
35,750.0,0.0016681005372000592,0.0025,0.004993746088859545
36,750.0,0.004641588833612777,0.0025,0.004993746088859545
37,750.0,0.012915496650148827,0.0225,0.01483028994996389
38,750.0,0.03593813663804626,0.05,0.021794494717703367
39,750.0,0.1,0.15,0.035707142142714254
40,1000.0,1e-05,0.0,0.0
41,1000.0,2.782559402207126e-05,0.0,0.0
42,1000.0,7.742636826811278e-05,0.0025,0.004993746088859545
43,1000.0,0.00021544346900318823,0.0,0.0
44,1000.0,0.0005994842503189409,0.005,0.007053367989832943
45,1000.0,0.0016681005372000592,0.0,0.0
46,1000.0,0.004641588833612777,0.005,0.007053367989832943
47,1000.0,0.012915496650148827,0.0375,0.01899835519196333
48,1000.0,0.03593813663804626,0.065,0.0246525860712421
49,1000.0,0.1,0.21,0.0407308237088326
